year,Seals_BM,Cormorant_BM,Gadus_morhua_BM,Juvenile_Sander_lucioperca_BM,Adult_Sander_lucioperca_BM,Esox_lucius_BM,Juvenile_Perca_fluviatilis_BM,Adult_Perca_fluviatilis_BM,Benthivorous_birds_BM,Benthivorous_fish_BM,Neogobius_melanostomus_BM,Clupea_harengus_BM,Sprattus_sprattus_BM,Rhithropanopeus_harrisii_BM,Gasterosteus_aculeatus_BM,Cyprinids_BM,Cercopagis_pengoi_BM,Mysids_BM,Predatory_benthos_BM,Invertebrate_grazers_BM,Mytilus_trossulus_BM,Benthic_bivalves_BM,Other_benthos_BM,Zooplankton_BM,Fucus_vesiculosus_BM,Filamentous_algae_BM,Phytoplankton_BM,Cyanobacteria_BM,Detritus_BM,climate_scen,fishing_scen,nutrients_scen,Seals_catch,Cormorant_catch,Gadus_morhua_catch,Juvenile_Sander_lucioperca_catch,Adult_Sander_lucioperca_catch,Esox_lucius_catch,Juvenile_Perca_fluviatilis_catch,Adult_Perca_fluviatilis_catch,Benthivorous_birds_catch,Benthivorous_fish_catch,Neogobius_melanostomus_catch,Clupea_harengus_catch,Sprattus_sprattus_catch,Rhithropanopeus_harrisii_catch,Gasterosteus_aculeatus_catch,Cyprinids_catch,Cercopagis_pengoi_catch,Mysids_catch,Predatory_benthos_catch,Invertebrate_grazers_catch,Mytilus_trossulus_catch,Benthic_bivalves_catch,Other_benthos_catch,Zooplankton_catch,Fucus_vesiculosus_catch,Filamentous_algae_catch,Phytoplankton_catch,Cyanobacteria_catch,Detritus_catch
2054,0.07657713,0.002783444,0.3796135,0.4167004,0.304154,0.6979935,0.6206828,1.494738,3.98E-04,2.5513,9.21E-04,5.358852,4.522897,0.01406019,1.041766,17.8371,0.001568239,2.050625,1.992191,3.186407,12.27772,33.09491,8.288411,7.666002,15.50653,1.816557,10.20518,1.00E-20,175.7009,RCP4.5,Dec,BSAP,8.11E-04,6.56E-06,0.1050632,0.001019088,0.0441714,0.07341801,0.003710086,0.1374914,1.36E-04,0.01886436,1.57E-07,1.359792,0.5942891,1.25E-06,0.001641607,0.06400601,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0.07653637,0.002746719,0.3452807,0.4036899,0.2149533,0.5779354,0.8048753,1.204532,3.76E-04,2.09549,0.001101008,6.036341,4.542103,0.01397518,1.058929,16.29768,0.001684757,2.396058,2.241855,3.694172,12.45797,32.1782,8.757895,7.682067,17.05502,2.717773,10.15951,1.00E-20,178.3785,RCP4.5,Dec,BSAP,8.11E-04,6.48E-06,0.09556115,9.87E-04,0.03121704,0.06078978,0.004811084,0.1107971,1.29E-04,0.01549409,1.88E-07,1.531702,0.5968126,1.24E-06,0.001668653,0.05848203,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,0.07658802,0.002710318,0.3262666,0.4343347,0.1886966,0.5482277,0.8518392,1.08483,3.57E-04,1.987664,0.001291712,5.977301,4.511779,0.01553013,1.118479,15.85661,0.001661854,2.42713,2.353661,4.397712,12.59031,32.01579,8.774497,7.642153,15.74764,3.065971,10.13212,1.00E-20,178.4579,RCP4.5,Dec,BSAP,8.12E-04,6.39E-06,0.09029876,0.001062214,0.02740387,0.05766499,0.005091807,0.09978657,1.22E-04,0.01469683,2.21E-07,1.516721,0.5928282,1.38E-06,0.001762492,0.05689929,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,0.07661235,0.002672517,0.3141757,0.4382354,0.181053,0.5449578,0.831378,1.111152,3.39E-04,1.994487,0.001292811,6.03332,4.58584,0.01587894,1.163121,15.72253,0.001734116,2.526468,2.412421,4.028689,12.67443,32.00608,8.845727,7.890244,16.07534,2.041258,10.34435,1.00E-20,180.2894,RCP4.5,Dec,BSAP,8.12E-04,6.30E-06,0.08695244,0.001071754,0.0262938,0.05732106,0.004969502,0.1022077,1.16E-04,0.01474727,2.21E-07,1.530936,0.6025595,1.41E-06,0.001832839,0.05641815,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,0.07649238,0.002626805,0.310237,0.4516684,0.187161,0.5286366,1.015442,1.098173,3.26E-04,2.312595,0.00167854,7.489787,5.86895,0.01719908,1.321741,16.03207,0.002893238,3.757065,2.941018,3.919837,15.40117,33.84227,11.5683,11.60954,16.23975,2.184679,13.37719,1.00E-20,226.9581,RCP4.5,Dec,BSAP,8.11E-04,6.20E-06,0.08586234,0.001104606,0.02718086,0.05560432,0.006069731,0.1010138,1.12E-04,0.01709937,2.87E-07,1.900509,0.7711546,1.53E-06,0.002082791,0.05752892,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0.07690571,0.002602626,0.3346666,0.5579306,0.2094149,0.5369795,1.063684,1.190637,3.19E-04,3.066807,0.001677704,7.199664,6.368012,0.01884252,1.445683,17.31451,0.001657517,2.816327,2.975067,3.741025,16.50575,36.06068,9.672633,6.873037,16.51693,1.838979,10.14571,1.00E-20,180.7302,RCP4.5,Dec,BSAP,8.15E-04,6.14E-06,0.09262358,0.001364482,0.03041272,0.05648185,0.006358093,0.109519,1.09E-04,0.02267603,2.87E-07,1.826892,0.8367291,1.67E-06,0.002278097,0.06213078,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,0.0776701,0.002627752,0.3362422,0.4621501,0.2397492,0.6178134,0.6526794,1.267387,3.03E-04,2.529704,9.70E-04,5.305876,4.607804,0.01461197,1.139437,16.48814,0.00143754,1.990537,2.119357,3.377007,12.66498,33.47626,8.148486,7.18268,18.40123,1.620421,9.909871,1.00E-20,172.0341,RCP4.5,Dec,BSAP,8.23E-04,6.20E-06,0.09305961,0.00113024,0.03481808,0.06498433,0.003901344,0.1165788,1.04E-04,0.01870468,1.66E-07,1.346349,0.6054454,1.30E-06,0.001795517,0.05916546,0,0,0,0,0,0,0,0,0,0,0,0,0
2061,0.07748047,0.00259082,0.3188715,0.3981368,0.2091811,0.5524792,0.784995,1.154123,2.87E-04,2.312799,0.001386306,6.805861,5.218027,0.01524132,1.181809,15.83949,0.002497336,3.33724,2.636391,3.745354,13.41326,33.56861,10.54518,10.4428,18.56406,1.670716,12.35383,1.00E-20,211.2645,RCP4.5,Dec,BSAP,8.21E-04,6.11E-06,0.08825206,9.74E-04,0.03037877,0.05811219,0.00469225,0.1061604,9.83E-05,0.01710088,2.37E-07,1.726965,0.685626,1.35E-06,0.001862287,0.05683788,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,0.07745456,0.002549191,0.3295186,0.5163017,0.2022199,0.5089242,1.185436,1.076312,2.79E-04,3.020759,0.001854748,8.150231,7.108928,0.01871152,1.434257,16.92559,0.002582023,3.681639,3.180646,3.973365,15.87643,36.43919,11.63978,10.13673,18.15435,1.773454,12.6859,1.00E-20,220.2234,RCP4.5,Dec,BSAP,8.21E-04,6.01E-06,0.09119878,0.001262674,0.0293678,0.05353088,0.007085858,0.09900298,9.56E-05,0.02233555,3.17E-07,2.068095,0.9340821,1.66E-06,0.002260093,0.06073518,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0.0781822,0.002572276,0.3520876,0.6064563,0.2468302,0.5891289,1.014182,1.259483,2.69E-04,3.407566,0.001487991,7.190553,7.678069,0.01791491,1.420252,17.83325,0.001998031,2.741899,2.749762,3.20447,14.5235,37.09064,10.53659,8.405147,20.171,0.4091549,11.7523,1.00E-20,203.8019,RCP4.5,Dec,BSAP,8.28E-04,6.07E-06,0.09744506,0.001483157,0.03584643,0.06196715,0.0060622,0.1158517,9.22E-05,0.0251956,2.54E-07,1.82458,1.008865,1.59E-06,0.002238023,0.0639922,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,0.07876846,0.002596083,0.3600014,0.5181139,0.2640727,0.6341458,0.8924471,1.34459,2.57E-04,3.34314,0.001524626,7.531849,8.497008,0.0166148,1.37924,17.62552,0.002740385,3.410433,2.887381,2.854897,13.43096,37.34978,12.20389,11.10461,22.59456,0.31715,13.9758,1.00E-20,237.6202,RCP4.5,Dec,BSAP,8.35E-04,6.12E-06,0.09963533,0.001267105,0.03835051,0.06670223,0.005334537,0.1236802,8.79E-05,0.02471925,2.60E-07,1.911183,1.11647,1.48E-06,0.002173397,0.06324678,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,0.07940098,0.002604034,0.3794632,0.5930484,0.2725026,0.602077,1.097003,1.30201,2.47E-04,3.857286,0.001672447,7.979688,9.815642,0.01811009,1.487372,18.13182,0.002262261,3.174297,3.122574,3.277736,13.60338,39.34777,12.0851,9.071699,22.36543,0.774662,12.88743,1.00E-20,225.1603,RCP4.5,Dec,BSAP,8.41E-04,6.14E-06,0.1050216,0.001450366,0.03957477,0.0633291,0.006557256,0.1197635,8.45E-05,0.02852084,2.86E-07,2.024821,1.289733,1.61E-06,0.002343791,0.0650636,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,0.08047477,0.002656187,0.3956541,0.5790758,0.2988204,0.6547266,0.9675236,1.327582,2.34E-04,3.716009,0.001497575,7.189005,9.45779,0.01729303,1.408538,18.11027,0.002238753,2.835007,2.814911,3.468334,11.77631,39.14538,11.85041,9.421493,22.44099,0.8849104,13.16025,1.00E-20,227.9261,RCP4.5,Dec,BSAP,8.53E-04,6.26E-06,0.1095027,0.001416194,0.04339682,0.06886702,0.005783303,0.1221158,8.01E-05,0.02747624,2.56E-07,1.824187,1.242712,1.54E-06,0.002219565,0.06498625,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,0.08137361,0.002690729,0.4024372,0.5674417,0.2918026,0.6587717,0.893775,1.381922,2.20E-04,3.468598,0.001322506,6.675951,8.523544,0.01631418,1.338727,17.69711,0.001728001,2.459228,2.688745,3.365622,9.978688,38.44062,10.6734,7.620146,22.15421,0.5919206,11.58636,1.00E-20,204.298,RCP4.5,Dec,BSAP,8.62E-04,6.35E-06,0.11138,0.001387742,0.04237764,0.06929249,0.005342476,0.1271141,7.52E-05,0.02564688,2.26E-07,1.694001,1.119957,1.45E-06,0.002109557,0.06350368,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0.08203226,0.002715667,0.3928448,0.4744263,0.2759687,0.6468523,0.8318419,1.288261,2.02E-04,2.90634,0.00116409,6.446409,7.493211,0.01440249,1.242109,16.42113,0.002037236,2.614007,2.580187,3.078612,7.980589,37.12133,10.82003,8.957059,23.30493,0.1568144,12.17995,1.00E-20,212.6147,RCP4.5,Dec,BSAP,8.69E-04,6.40E-06,0.1087252,0.001160263,0.04007813,0.06803875,0.004972274,0.1184988,6.91E-05,0.02148954,1.99E-07,1.635755,0.9845753,1.28E-06,0.001957307,0.05892499,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,0.08226532,0.002701472,0.3839201,0.5053011,0.2368764,0.5871288,1.009564,1.195814,1.84E-04,2.994841,0.001396997,7.432964,8.441928,0.0150305,1.344953,15.86874,0.002428296,3.229015,2.982942,3.130933,7.4147,38.12946,12.04998,9.95739,24.36482,0.01539523,13.11972,1.00E-20,229.9564,RCP4.5,Dec,BSAP,8.72E-04,6.37E-06,0.1062551,0.00123577,0.03440088,0.06175678,0.006034594,0.1099952,6.31E-05,0.02214392,2.39E-07,1.886091,1.109233,1.34E-06,0.002119368,0.05694282,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,0.08274517,0.002699913,0.3914311,0.5612223,0.2345136,0.5834665,1.136606,1.199718,1.70E-04,3.41789,0.001514344,7.858675,9.57185,0.01619188,1.464838,15.93804,0.002486356,3.289121,3.162156,3.250635,7.729761,39.99607,12.66099,10.01295,24.64564,0.006181981,13.49887,1.00E-20,236.9904,RCP4.5,Dec,BSAP,8.77E-04,6.37E-06,0.1083339,0.001372532,0.03405774,0.06137156,0.006793982,0.1103543,5.80E-05,0.02527194,2.59E-07,1.994114,1.257699,1.44E-06,0.002308282,0.05719151,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,0.08369941,0.002726656,0.4064722,0.5887254,0.2588119,0.6187143,0.9335327,1.277683,1.56E-04,3.452058,0.001225454,6.631253,8.163313,0.01532984,1.387958,15.78127,0.001589266,2.39571,2.773623,3.232172,7.512147,39.7833,10.51672,7.070126,24.5842,0.02851274,11.04722,1.00E-20,197.7245,RCP4.5,Dec,BSAP,8.87E-04,6.43E-06,0.1124967,0.001439794,0.0375865,0.06507909,0.005580124,0.1175258,5.35E-05,0.02552458,2.09E-07,1.682659,1.072624,1.36E-06,0.002187134,0.05662896,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,0.08423254,0.002737596,0.3926623,0.4445773,0.2545371,0.6123934,0.7497295,1.225304,1.42E-04,2.782332,0.001093842,6.18879,6.517391,0.01358185,1.229494,14.70106,0.00200962,2.667506,2.590337,3.339276,6.732935,37.90204,10.51111,8.966498,23.67169,0.3735927,11.83204,1.00E-20,207.4315,RCP4.5,Dec,BSAP,8.93E-04,6.46E-06,0.1086747,0.001087264,0.03696569,0.06441422,0.004481454,0.1127078,4.85E-05,0.02057262,1.87E-07,1.570386,0.8563569,1.21E-06,0.001937428,0.05275276,0,0,0,0,0,0,0,0,0,0,0,0,0
2073,0.08413263,0.002696199,0.3779552,0.4625181,0.2183039,0.5267077,1.05046,1.060518,1.30E-04,2.944837,0.001496911,7.548035,7.671933,0.01545726,1.361809,14.60885,0.002505677,3.462436,3.10872,3.562336,7.927535,39.2305,11.99333,10.17583,22.37957,0.2587391,12.98186,1.00E-20,226.9864,RCP4.5,Dec,BSAP,8.92E-04,6.36E-06,0.1046043,0.00113114,0.03170365,0.05540143,0.006279046,0.09755022,4.45E-05,0.02177418,2.56E-07,1.91529,1.008059,1.37E-06,0.002145929,0.05242187,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,0.08448955,0.002686123,0.3847664,0.5674857,0.2252553,0.5421335,1.112054,1.090987,1.22E-04,3.334026,0.001423884,7.518387,8.460559,0.0161762,1.445086,15.19986,0.002173503,3.033188,3.049499,3.230137,9.306184,40.48235,11.58181,8.942935,22.6798,0.2406982,12.36725,1.00E-20,217.3255,RCP4.5,Dec,BSAP,8.95E-04,6.34E-06,0.1064894,0.00138785,0.03271316,0.05702397,0.006647222,0.1003529,4.17E-05,0.02465186,2.43E-07,1.907767,1.111681,1.44E-06,0.002277157,0.05454263,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,0.08519333,0.002704557,0.3894857,0.5196871,0.2441729,0.5964565,0.7971485,1.225116,1.13E-04,3.0633,0.001089318,6.126095,6.91607,0.01451308,1.297044,15.09511,0.001472268,2.252849,2.603644,3.20112,8.570035,39.00924,9.664102,6.857464,23.2199,0.2428414,10.49657,1.00E-20,186.4252,RCP4.5,Dec,BSAP,9.03E-04,6.38E-06,0.1077955,0.001270953,0.03546052,0.0627379,0.004764898,0.1126905,3.88E-05,0.0226501,1.86E-07,1.554477,0.9087417,1.29E-06,0.002043873,0.05416676,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,0.08534729,0.002689526,0.3705101,0.4115146,0.2322708,0.5667108,0.7591684,1.136417,1.04E-04,2.508875,0.001094564,6.135676,6.015057,0.01347259,1.19207,14.24259,0.002018295,2.750376,2.610488,3.539738,7.775684,37.42253,10.2802,9.01767,22.77258,0.8436183,11.69531,1.00E-20,204.3052,RCP4.5,Dec,BSAP,9.04E-04,6.34E-06,0.1025438,0.001006405,0.03373202,0.05960912,0.004537874,0.1045317,3.55E-05,0.01855067,1.87E-07,1.556908,0.7903523,1.20E-06,0.001878455,0.0511076,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,0.08521893,0.002646298,0.3595853,0.4516585,0.205779,0.5042899,0.948281,1.023763,9.62E-05,2.607388,0.001334683,6.695389,6.47209,0.01508335,1.281375,14.26967,0.001826477,2.834372,2.870358,3.77459,8.47045,38.01822,10.22285,7.929226,21.4304,0.491946,11.02463,1.00E-20,195.2829,RCP4.5,Dec,BSAP,9.03E-04,6.24E-06,0.09952015,0.001104581,0.02988468,0.05304343,0.005668281,0.09416937,3.29E-05,0.01927908,2.28E-07,1.698934,0.8504044,1.34E-06,0.002019183,0.05120479,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,0.08537,0.002631919,0.3534555,0.4535653,0.2077986,0.5314763,0.8646662,1.044744,8.90E-05,2.4751,0.001174544,6.188167,6.081629,0.01454594,1.242669,14.18129,0.001763816,2.532107,2.635072,4.015075,8.496773,37.3632,9.875583,7.991831,20.44695,2.085341,10.97115,1.00E-20,194.4407,RCP4.5,Dec,BSAP,9.05E-04,6.21E-06,0.09782365,0.001109245,0.030178,0.05590301,0.005168479,0.09609924,3.05E-05,0.01830094,2.01E-07,1.570227,0.7990997,1.29E-06,0.001958189,0.05088763,0,0,0,0,0,0,0,0,0,0,0,0,0
2079,0.08518711,0.002595046,0.3475205,0.4613127,0.195386,0.5153126,0.9911795,1.056265,8.37E-05,2.720757,0.001732391,7.499635,7.231925,0.01728156,1.386223,14.70973,0.002827483,3.794368,3.187884,4.200459,10.93875,38.76368,12.29411,11.40098,18.5923,0.9801504,13.72071,1.00E-20,234.9613,RCP4.5,Dec,BSAP,9.03E-04,6.12E-06,0.09618106,0.001128192,0.02837535,0.05420284,0.005924705,0.09715903,2.86E-05,0.02011732,2.96E-07,1.903008,0.9502434,1.54E-06,0.002184401,0.05278385,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,0.08535615,0.002571492,0.3673879,0.5689219,0.2151744,0.5163118,1.146977,1.123795,8.13E-05,3.544433,0.00169566,8.032631,8.670892,0.01869214,1.552927,16.0909,0.00223668,3.360702,3.33784,3.318582,14.17081,41.22065,11.6562,8.898175,20.75086,0.2018579,12.33071,1.00E-20,214.5353,RCP4.5,Dec,BSAP,9.04E-04,6.06E-06,0.1016796,0.001391362,0.03124915,0.05430794,0.006855974,0.1033706,2.78E-05,0.02620761,2.90E-07,2.038254,1.139318,1.66E-06,0.002447093,0.05774002,0,0,0,0,0,0,0,0,0,0,0,0,0
2081,0.0862259,0.002610757,0.381922,0.5456848,0.2628115,0.603011,0.7741258,1.253998,7.78E-05,3.270715,0.001105708,6.034173,6.90216,0.01543236,1.312851,16.29689,0.001441637,2.136728,2.517205,2.819283,12.62532,39.12098,9.291474,6.806747,22.86606,0.06473824,10.48278,1.00E-20,182.1686,RCP4.5,Dec,BSAP,9.14E-04,6.16E-06,0.1057022,0.001334533,0.03816735,0.06342734,0.00462728,0.1153472,2.66E-05,0.02418373,1.89E-07,1.531152,0.9069138,1.37E-06,0.002068782,0.05847919,0,0,0,0,0,0,0,0,0,0,0,0,0
2082,0.08639921,0.002611742,0.3636245,0.4153375,0.2497321,0.5913464,0.6483084,1.208522,7.32E-05,2.532634,0.001003079,5.835592,5.787866,0.01349442,1.144822,15.4227,0.00177441,2.470977,2.436125,3.113482,11.17621,36.57727,9.413244,8.224624,23.78375,0.370302,11.07917,1.00E-20,190.8809,RCP4.5,Dec,BSAP,9.16E-04,6.16E-06,0.100638,0.001015754,0.03626787,0.06220041,0.003875216,0.1111641,2.51E-05,0.01872635,1.71E-07,1.480763,0.7605004,1.20E-06,0.001804003,0.05534227,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,0.08628744,0.002581594,0.3474526,0.4244734,0.2159451,0.5267743,0.7983758,1.067078,6.91E-05,2.312985,0.001122171,5.907845,5.575745,0.01410146,1.150262,15.02956,0.001446847,2.330487,2.524111,3.556041,10.79762,35.78085,8.894519,6.808978,22.98536,0.5256147,9.987099,1.00E-20,175.9451,RCP4.5,Dec,BSAP,9.14E-04,6.09E-06,0.09616228,0.001038097,0.03136108,0.05540843,0.004772233,0.09815368,2.36E-05,0.01710225,1.92E-07,1.499097,0.7326286,1.25E-06,0.001812576,0.05393155,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,0.08608194,0.002556172,0.3349073,0.4453237,0.1987076,0.5293962,0.9107313,0.999393,6.51E-05,2.342753,0.00153775,7.144733,6.60527,0.0156771,1.271402,15.11905,0.003007008,3.759825,2.979552,3.925452,11.84755,36.53394,12.22215,12.20776,21.42138,1.408899,14.12308,1.00E-20,240.2615,RCP4.5,Dec,BSAP,9.12E-04,6.03E-06,0.0926902,0.001089089,0.02885772,0.05568421,0.00544383,0.09192773,2.23E-05,0.01732236,2.63E-07,1.812953,0.8679039,1.39E-06,0.002003466,0.05425267,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,0.08618319,0.002529079,0.3576161,0.5683619,0.1920445,0.5246919,1.030532,1.127769,6.31E-05,3.257852,0.001813918,7.618162,7.740398,0.01905489,1.507961,16.6988,0.001801753,3.143914,3.320394,3.919023,13.58188,39.28438,10.6899,7.24831,19.84482,0.7669951,10.86939,1.00E-20,194.5684,RCP4.5,Dec,BSAP,9.13E-04,5.96E-06,0.09897515,0.001389992,0.02789007,0.0551894,0.006159933,0.1037362,2.16E-05,0.02408861,3.10E-07,1.933084,1.017055,1.69E-06,0.002376235,0.0599214,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,0.08687627,0.002566509,0.3659677,0.5128383,0.2374299,0.6152653,0.8227883,1.222385,5.96E-05,2.964442,0.00126112,6.234566,6.667318,0.01586008,1.292644,16.50643,0.002123517,2.668621,2.543447,3.72067,11.61767,37.40187,10.46099,9.401599,20.06017,1.955091,12.22984,1.00E-20,211.0609,RCP4.5,Dec,BSAP,9.21E-04,6.05E-06,0.1012866,0.001254203,0.03448125,0.0647163,0.004918158,0.1124393,2.04E-05,0.02191914,2.15E-07,1.582001,0.8760567,1.41E-06,0.002036939,0.05923108,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,0.0869322,0.002560921,0.3624501,0.4753157,0.2383835,0.5791651,0.8629273,1.224215,5.66E-05,2.931638,0.001397712,6.546485,6.673002,0.01646302,1.293192,16.51273,0.001644111,2.593356,2.696391,3.673667,11.65955,37.14795,9.737775,7.250072,19.28402,0.7739037,10.63084,1.00E-20,187.1587,RCP4.5,Dec,BSAP,9.21E-04,6.04E-06,0.100313,0.001162437,0.03461974,0.06091913,0.005158086,0.1126076,1.94E-05,0.02167659,2.39E-07,1.66115,0.8768036,1.46E-06,0.002037803,0.05925367,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,0.08712983,0.002567302,0.3545568,0.4574984,0.2416567,0.5802585,0.841238,1.175534,5.35E-05,2.597654,0.001303424,6.335888,6.210534,0.0155816,1.22024,15.96116,0.002115139,2.762697,2.56086,4.262728,11.74911,36.07732,10.38237,9.284135,18.57206,3.145012,11.93552,1.00E-20,207.439,RCP4.5,Dec,BSAP,9.23E-04,6.06E-06,0.09812845,0.001118863,0.0350951,0.06103414,0.005028439,0.1081298,1.83E-05,0.0192071,2.23E-07,1.607711,0.8160372,1.38E-06,0.001922846,0.05727448,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,0.08703808,0.002546138,0.3512579,0.4805124,0.2179445,0.5414092,1.000218,1.146363,5.15E-05,2.831715,0.001726756,6.944952,6.758203,0.01866226,1.338024,16.57746,0.001955802,2.950741,2.880955,4.601239,13.60583,36.97902,10.37389,8.313715,15.96998,2.200479,11.37615,1.00E-20,198.6893,RCP4.5,Dec,BSAP,9.22E-04,6.01E-06,0.09721544,0.001175147,0.03165145,0.05694779,0.005978731,0.1054465,1.76E-05,0.02093775,2.95E-07,1.762259,0.8879986,1.66E-06,0.00210845,0.05948599,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,0.08735439,0.002559366,0.3511781,0.4906911,0.229197,0.5769936,0.8216076,1.20404,4.93E-05,2.672942,0.001197756,5.858471,5.748243,0.01637672,1.229326,16.53459,0.001428029,2.129624,2.399046,3.654531,12.98126,35.69065,8.768032,6.798185,17.23094,1.697277,10.03537,1.00E-20,175.18,RCP4.5,Dec,BSAP,9.26E-04,6.04E-06,0.09719335,0.00120004,0.03328562,0.06069073,0.0049111,0.1107519,1.69E-05,0.01976378,2.05E-07,1.486568,0.7552943,1.46E-06,0.001937164,0.05933215,0,0,0,0,0,0,0,0,0,0,0,0,0
2091,0.08730078,0.00255567,0.3337251,0.4088328,0.2198734,0.5801261,0.7044666,1.157622,4.68E-05,2.21782,0.001119087,5.716873,5.001787,0.01490398,1.124187,15.8032,0.001697329,2.374287,2.324672,4.021742,12.64985,33.98242,8.921188,7.960682,16.31763,2.846741,10.58339,1.00E-20,183.3304,RCP4.5,Dec,BSAP,9.25E-04,6.03E-06,0.09236299,1.00E-03,0.03193158,0.06102021,0.004210899,0.1064822,1.60E-05,0.0163986,1.91E-07,1.450638,0.657213,1.32E-06,0.001771486,0.05670764,0,0,0,0,0,0,0,0,0,0,0,0,0
2092,0.08695817,0.002521086,0.3212108,0.4279023,0.1941391,0.5244885,0.8728097,1.090649,4.50E-05,2.239425,0.001409943,6.427551,5.497401,0.01634144,1.203419,15.88549,0.001922563,2.799743,2.624594,3.872465,14.38597,34.20425,9.520007,8.438145,16.57425,1.577253,11.05887,1.00E-20,189.5687,RCP4.5,Dec,BSAP,9.21E-04,5.95E-06,0.08889949,0.001046483,0.02819425,0.055168,0.005217157,0.1003218,1.54E-05,0.01655835,2.41E-07,1.63097,0.7223346,1.45E-06,0.001896341,0.05700291,0,0,0,0,0,0,0,0,0,0,0,0,0
2093,0.08676215,0.00250065,0.3210817,0.4813808,0.2000055,0.5289695,1.020957,1.086134,4.38E-05,2.536645,0.00159259,7.171169,6.701164,0.01736106,1.318376,16.56215,0.002413292,3.206401,2.850291,3.818908,16.70507,35.37751,10.85383,9.988282,17.53902,2.175016,12.54299,1.00E-20,212.9468,RCP4.5,Dec,BSAP,9.19E-04,5.90E-06,0.08886376,0.001177271,0.02904622,0.05563933,0.006102696,0.09990651,1.50E-05,0.018756,2.72E-07,1.819661,0.8805039,1.54E-06,0.002077488,0.05943102,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,0.08697464,0.002501365,0.3363885,0.5377146,0.2172833,0.5611255,0.9847035,1.221604,4.29E-05,2.980449,0.001659919,6.712215,7.035011,0.01910677,1.373179,17.68495,0.001653606,2.589967,2.809481,4.477575,17.16656,36.31404,9.768744,7.217247,15.7676,3.193953,10.72823,1.00E-20,187.4772,RCP4.5,Dec,BSAP,9.22E-04,5.90E-06,0.09310013,0.001315041,0.03155542,0.05902164,0.005885994,0.1123675,1.47E-05,0.0220375,2.84E-07,1.703203,0.92437,1.70E-06,0.002163847,0.06346007,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,0.0873768,0.002526699,0.3376817,0.4620304,0.2404286,0.6086474,0.7473623,1.286041,4.12E-05,2.666262,0.001295883,5.399831,5.592077,0.01746777,1.189886,17.44503,0.001363662,1.998595,2.280858,4.40942,14.64415,34.40682,8.503812,6.82387,15.13829,2.99683,10.07464,1.00E-20,174.2765,RCP4.5,Dec,BSAP,9.26E-04,5.96E-06,0.09345802,0.001129947,0.03491675,0.06402019,0.004467304,0.1182946,1.41E-05,0.0197144,2.21E-07,1.37019,0.7347746,1.55E-06,0.001875015,0.06259913,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,0.08712017,0.002512931,0.3235571,0.4258251,0.2234904,0.5690257,0.8561901,1.210432,3.97E-05,2.480508,0.001521029,6.550732,6.262546,0.01734862,1.208448,17.08275,0.002401802,3.076684,2.605475,4.006835,15.63394,34.16464,10.57387,10.23952,15.21236,2.177968,12.6452,1.00E-20,212.5249,RCP4.5,Dec,BSAP,9.23E-04,5.93E-06,0.08954888,0.001041403,0.03245686,0.05985261,0.005117815,0.1113398,1.36E-05,0.01834092,2.60E-07,1.662227,0.8228713,1.54E-06,0.001904264,0.06129915,0,0,0,0,0,0,0,0,0,0,0,0,0
