Year,Nutrient scenario,Climate scenario,Fishing scenario,Stakeholder group,Value type,Cyano,Fucus,Phyto,FilAlgae,Neogobius,Cercopagis,Rhitro,Seals,Cormorant,Clupea,Sander,Perca,Overall expected utility
Y 2050-2059,PLC55,RCP4.5,Inc,Recreational user or professional ,Recreation,-0.2325,0.64627,0.958875,-0.365951,-0.229928,-0.307402,-0.267012,0.520693,-0.701953,0.227132,0.302841,0.381712,0.932778
Y 2050-2059,PLC55,RCP4.5,Inc,Local,Professional,-0.0793269,0.276453,0.3031,-0.134814,-0.0877905,-0.117372,-0.10195,-0.055479,-0.369315,0.133697,0.143023,0.157299,0.0675247
Y 2050-2059,PLC55,RCP4.5,Inc,Cabin and sailing,Professional,-0.0789474,0.174602,0.164022,-0.114686,-0.0365794,-0.0489048,-0.0424792,0.0372293,-0.191695,0.0457383,0.0711694,0.0922821,0.071752
Y 2050-2059,PLC55,RCP4.5,Inc,Recreational user or professional ,Professional,-0.0853659,0.154761,0.260093,-0.119514,-0.0355907,-0.0475831,-0.0413311,0.0353678,-0.184805,0.111414,0.0989429,0.106334,0.252721
Y 2050-2059,PLC55,RCP8.5,Inc,Local,Recreation,-1.46556,0.249037,0.745083,-0.625492,-0.252813,-0.199889,-0.263681,0.0194899,-0.945127,0.244559,0.558516,0.757569,-1.17831
Y 2050-2059,PLC55,RCP8.5,Inc,Cabin and sailing,Recreation,-1.57652,0.27394,0.767743,-0.898143,-0.430719,-0.340551,-0.449235,0.257409,-0.824183,0.260524,0.579202,0.999049,-1.38148
Y 2050-2059,PLC55,RCP8.5,Inc,Recreational user or professional ,Recreation,-1.64692,0.233991,0.842956,-0.739218,-0.382564,-0.302477,-0.39901,0.613322,-0.795978,0.206797,0.518868,0.853354,-0.996883
Y 2050-2059,PLC55,RCP8.5,Inc,Local,Professional,-0.561916,0.100094,0.266488,-0.272323,-0.14607,-0.115491,-0.152349,-0.0653484,-0.418784,0.121726,0.245047,0.351657,-0.64727
Y 2050-2059,PLC55,RCP8.5,Inc,Cabin and sailing,Professional,-0.559227,0.063217,0.144194,-0.231664,-0.0608624,-0.0481214,-0.0634788,0.0438522,-0.217372,0.0416433,0.121937,0.206305,-0.559577
Y 2050-2059,PLC55,RCP8.5,Inc,Recreational user or professional ,Professional,-0.604693,0.0560332,0.22865,-0.241418,-0.0592175,-0.0468208,-0.0617632,0.0416596,-0.20956,0.101439,0.169523,0.23772,-0.388448
Y 2050-2059,PLC55,RCP4.5,Gil,Local,Recreation,-0.206897,0.697886,0.819558,-0.294269,-0.160933,-0.187142,-0.177516,0.0240345,-0.91988,0.36329,0.526353,0.516791,1.00127
Y 2050-2059,PLC55,RCP4.5,Gil,Cabin and sailing,Recreation,-0.222561,0.767675,0.844483,-0.42254,-0.274182,-0.318834,-0.302435,0.317431,-0.802168,0.387005,0.545847,0.68152,1.20124
Y 2050-2059,PLC55,RCP4.5,Gil,Recreational user or professional ,Recreation,-0.2325,0.655722,0.927213,-0.347773,-0.243528,-0.283188,-0.268622,0.756336,-0.774716,0.307193,0.488988,0.582132,1.56726
Y 2050-2059,PLC55,RCP4.5,Gil,Local,Professional,-0.0793269,0.280496,0.293048,-0.128117,-0.0929834,-0.108126,-0.102565,-0.0805863,-0.407597,0.180823,0.230935,0.239889,0.22589
Y 2050-2059,PLC55,RCP4.5,Gil,Cabin and sailing,Professional,-0.0789474,0.177156,0.158606,-0.108989,-0.0387431,-0.0450526,-0.0427353,0.0540776,-0.211566,0.0618605,0.114915,0.140735,0.181318
Y 2050-2059,PLC55,RCP4.5,Gil,Recreational user or professional ,Professional,-0.0853659,0.157024,0.251504,-0.113578,-0.037696,-0.0438349,-0.0415803,0.0513737,-0.203962,0.150686,0.15976,0.162165,0.406497
Y 2050-2059,PLC55,RCP8.5,Gil,Local,Recreation,-1.45776,0.25826,0.745833,-0.634734,-0.242216,-0.185198,-0.262789,0.0250195,-1.03888,0.367644,0.769987,0.857269,-0.797572
Y 2050-2059,PLC55,RCP8.5,Gil,Cabin and sailing,Recreation,-1.56813,0.284086,0.768516,-0.911413,-0.412664,-0.315523,-0.447715,0.330441,-0.905944,0.391643,0.798505,1.13053,-0.857671
Y 2050-2059,PLC55,RCP8.5,Gil,Recreational user or professional ,Recreation,-1.63816,0.242657,0.843804,-0.75014,-0.366528,-0.280247,-0.39766,0.787333,-0.87494,0.310875,0.715327,0.965659,-0.442018
Y 2050-2059,PLC55,RCP8.5,Gil,Local,Professional,-0.558925,0.103801,0.266786,-0.276347,-0.139947,-0.107003,-0.151834,-0.083889,-0.460328,0.18299,0.337829,0.397936,-0.488931
Y 2050-2059,PLC55,RCP8.5,Gil,Cabin and sailing,Professional,-0.556251,0.0655584,0.144339,-0.235087,-0.0583112,-0.0445847,-0.0632641,0.0562939,-0.238936,0.0626019,0.168106,0.233456,-0.466079
Y 2050-2059,PLC55,RCP8.5,Gil,Recreational user or professional ,Professional,-0.601475,0.0581086,0.22888,-0.244985,-0.0567352,-0.0433797,-0.0615543,0.0534792,-0.230348,0.152492,0.233709,0.269005,-0.242804
Y 2050-2059,PLC55,RCP4.5,SQ,Local,Recreation,-0.206897,0.694536,0.825568,-0.302936,-0.160008,-0.188321,-0.182823,0.0233574,-0.905014,0.361737,0.485774,0.508869,0.953842
Y 2050-2059,PLC55,RCP4.5,SQ,Cabin and sailing,Recreation,-0.222561,0.76399,0.850675,-0.434986,-0.272606,-0.320844,-0.311476,0.308489,-0.789204,0.385351,0.503766,0.671074,1.13167
Y 2050-2059,PLC55,RCP4.5,SQ,Recreational user or professional ,Recreation,-0.2325,0.652575,0.934013,-0.358016,-0.242128,-0.284973,-0.276652,0.735028,-0.762195,0.30588,0.45129,0.573209,1.49553
Y 2050-2059,PLC55,RCP4.5,SQ,Local,Professional,-0.0793269,0.27915,0.29519,-0.131891,-0.0924489,-0.108808,-0.105631,-0.078316,-0.40101,0.18005,0.213132,0.236212,0.206302
Y 2050-2059,PLC55,RCP4.5,SQ,Cabin and sailing,Professional,-0.0789474,0.176305,0.15977,-0.112199,-0.0385204,-0.0453366,-0.0440129,0.0525542,-0.208147,0.061596,0.106056,0.138578,0.167696
Y 2050-2059,PLC55,RCP4.5,SQ,Recreational user or professional ,Professional,-0.0853659,0.156271,0.253349,-0.116923,-0.0374793,-0.0441113,-0.0428233,0.0499264,-0.200666,0.150042,0.147444,0.15968,0.389342
Y 2050-2059,PLC55,RCP8.5,SQ,Local,Recreation,-1.45425,0.255382,0.727388,-0.63028,-0.24477,-0.184348,-0.262767,0.0258296,-1.00132,0.363851,0.727484,0.853227,-0.824573
Y 2050-2059,PLC55,RCP8.5,SQ,Cabin and sailing,Recreation,-1.56435,0.28092,0.74951,-0.905017,-0.417016,-0.314075,-0.447677,0.34114,-0.873189,0.387603,0.754428,1.1252,-0.882524
Y 2050-2059,PLC55,RCP8.5,SQ,Recreational user or professional ,Recreation,-1.63421,0.239953,0.822937,-0.744876,-0.370393,-0.278961,-0.397626,0.812826,-0.843307,0.307668,0.675842,0.961107,-0.44904
Y 2050-2059,PLC55,RCP8.5,SQ,Local,Professional,-0.557577,0.102644,0.260221,-0.274408,-0.141423,-0.106512,-0.151821,-0.0866052,-0.443684,0.181102,0.319181,0.39606,-0.502822
Y 2050-2059,PLC55,RCP8.5,SQ,Cabin and sailing,Professional,-0.55491,0.0648278,0.140769,-0.233437,-0.0589262,-0.0443802,-0.0632587,0.0581167,-0.230297,0.061956,0.158827,0.232355,-0.468357
Y 2050-2059,PLC55,RCP8.5,SQ,Recreational user or professional ,Professional,-0.600024,0.057461,0.22322,-0.243266,-0.0573336,-0.0431807,-0.061549,0.0552108,-0.22202,0.150918,0.220808,0.267737,-0.252019
