Year,Stakeholder.group,Value.type,Climate.scenario,Fishing.scenario,Nutrient.scenario,Cyano,Fucus,Phyto,FilAlgae,Neogobius,Cercopagis,Rhitro,Seals,Cormorant,Clupea,Sander,Perca,Overall.expected.utility,,,
Y 2050-2059,Local,Professional,RCP8.5,Gil,BSAP,-0.419695,0.170602,0.32598,-0.205334,-0.125661,-0.0910963,-0.134027,-0.0760758,-0.4204,0.151342,0.234744,0.300249,-0.289372,,,
Y 2050-2059,Local,Professional,RCP8.5,Gil,PLC55,-0.558925,0.103801,0.267027,-0.276347,-0.139947,-0.107003,-0.151834,-0.083889,-0.460328,0.18299,0.337829,0.397936,-0.48869,,,
Y 2050-2059,Local,Professional,RCP8.5,SQ,BSAP,-0.41521,0.16886,0.329127,-0.207253,-0.126569,-0.0889825,-0.135516,-0.0758339,-0.41101,0.15258,0.214704,0.299468,-0.295635,,,
Y 2050-2059,Local,Professional,RCP8.5,SQ,PLC55,-0.557577,0.102644,0.260423,-0.274408,-0.141423,-0.106512,-0.151821,-0.0866052,-0.443685,0.181102,0.319181,0.39606,-0.502621,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP4.5,DEc,BSAP,-0.223404,0.938538,0.874414,-0.219149,-0.321887,-0.253794,-0.256964,0.368788,-0.511399,0.363802,0.571974,0.765156,2.09608,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP4.5,DEc,PLC55,-0.223404,0.761022,0.852588,-0.417403,-0.280893,-0.319376,-0.312135,0.349937,-0.831084,0.413518,0.603326,0.793358,1.38945,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP4.5,Inc,BSAP,-0.223404,0.946209,0.943301,-0.228177,-0.334459,-0.347656,-0.267636,0.246346,-0.483415,0.25717,0.346465,0.435555,1.2903,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP4.5,Inc,PLC55,-0.223404,0.756609,0.91678,-0.422043,-0.263372,-0.352115,-0.30585,0.210702,-0.732668,0.264487,0.330706,0.438563,0.618394,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP4.5,Gil,BSAP,-0.223404,0.949435,0.856045,-0.228862,-0.326193,-0.275063,-0.276478,0.335967,-0.505664,0.318503,0.540449,0.630935,1.79567,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP4.5,Gil,PLC55,-0.223404,0.767675,0.886509,-0.401078,-0.27895,-0.324379,-0.307694,0.306056,-0.808615,0.357715,0.533981,0.668832,1.17665,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP4.5,SQ,BSAP,-0.223404,0.940524,0.892482,-0.224659,-0.316489,-0.278274,-0.276868,0.323842,-1.04552,0.312575,0.435167,0.56445,1.10383,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP4.5,SQ,PLC55,-0.223404,0.76399,0.893009,-0.412891,-0.277347,-0.326424,-0.316893,0.297434,-0.795547,0.356186,0.492814,0.65858,1.10951,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP8.5,DEc,BSAP,-1.16831,0.461794,0.994161,-0.649162,-0.348698,-0.252817,-0.398492,0.341074,-0.854488,0.346269,0.599307,0.92329,-0.00607152,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP8.5,DEc,PLC55,-1.56843,0.274784,0.821415,-0.858428,-0.423648,-0.312857,-0.460286,0.363771,-0.919143,0.417108,0.83006,1.16136,-0.674294,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP8.5,Inc,BSAP,-1.1685,0.453541,1.01096,-0.65797,-0.373945,-0.313032,-0.403751,0.197989,-0.759459,0.216095,0.331926,0.661087,-0.80506,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP8.5,Inc,PLC55,-1.58249,0.27394,0.80595,-0.852522,-0.438209,-0.346474,-0.457047,0.248185,-0.830808,0.240807,0.566611,0.980449,-1.39161,,,
Y 2050-2059,Cabin and sailing,Recreation,RCP8.5,Gil,BSAP,-1.18197,0.46691,0.984876,-0.642811,-0.376983,-0.273289,-0.40208,0.288926,-0.834014,0.299393,0.542789,0.83712,-0.291128,,,
